
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
17,,Surface,2,Image 1,1,0,
13,,Surface,2,Image 1,1,1,
20,,Surface,2,Image 1,1,2,
16,,Surface,2,Image 1,1,3,
18,,Surface,2,Image 1,1,4,
29,,Surface,2,Image 1,1,5,
23,,Surface,2,Image 1,1,6,
14,,Surface,2,Image 1,1,7,
17,,Surface,2,Image 1,1,8,
13,,Surface,2,Image 1,1,9,
13,,Surface,2,Image 1,1,10,
15,,Surface,2,Image 1,1,11,
18,,Surface,2,Image 1,1,12,
19,,Surface,2,Image 1,1,13,
21,,Surface,2,Image 1,1,14,
13,,Surface,2,Image 1,1,15,
17,,Surface,2,Image 1,1,16,
14,,Surface,2,Image 1,1,17,
20,,Surface,2,Image 1,1,18,
14,,Surface,2,Image 1,1,19,
14,,Surface,2,Image 1,1,20,
18,,Surface,2,Image 1,1,21,
19,,Surface,2,Image 1,1,22,
32,,Surface,2,Image 1,1,23,
20,,Surface,2,Image 1,1,24,
19,,Surface,2,Image 1,1,25,
28,,Surface,2,Image 1,1,26,
16,,Surface,2,Image 1,1,27,
20,,Surface,2,Image 1,1,28,
26,,Surface,2,Image 1,1,29,
14,,Surface,2,Image 1,1,30,
39,,Surface,2,Image 1,1,31,
18,,Surface,2,Image 1,1,32,
17,,Surface,2,Image 1,1,33,
16,,Surface,2,Image 1,1,34,
19,,Surface,2,Image 1,1,35,
17,,Surface,2,Image 1,1,36,
13,,Surface,2,Image 1,1,37,
13,,Surface,2,Image 1,1,38,
27,,Surface,2,Image 1,1,39,
16,,Surface,2,Image 1,1,40,
17,,Surface,2,Image 1,1,41,
15,,Surface,2,Image 1,1,43,
17,,Surface,2,Image 1,1,44,
17,,Surface,2,Image 1,1,45,
14,,Surface,2,Image 1,1,46,
40,,Surface,2,Image 1,1,47,
21,,Surface,2,Image 1,1,48,
23,,Surface,2,Image 1,1,49,
27,,Surface,2,Image 1,1,50,
20,,Surface,2,Image 1,1,51,
14,,Surface,2,Image 1,1,52,
14,,Surface,2,Image 1,1,54,
16,,Surface,2,Image 1,1,55,
13,,Surface,2,Image 1,1,56,
16,,Surface,2,Image 1,1,57,
23,,Surface,2,Image 1,1,58,
23,,Surface,2,Image 1,1,59,
15,,Surface,2,Image 1,1,60,
16,,Surface,2,Image 1,1,61,
20,,Surface,2,Image 1,1,62,
30,,Surface,2,Image 1,1,63,
5,,Surface,2,Image 1,1,64,
14,,Surface,2,Image 1,1,65,
